id;title;year;abstract
US-8855744-B2;Displaying a device within an endoluminal image stack ;2008;Apparatus and methods are described including, while an endoluminal data-acquisition device is being moved through a subject's lumen, acquiring a plurality of endoluminal data points of the lumen using the endoluminal data-acquisition device. It is determined that respective endoluminal data points correspond to respective locations along the lumen. A display is driven to display at least some of the plurality of endoluminal data points in a stack. While a second endoluminal device is inside the lumen, a current location of at least a portion of the second endoluminal device with respect to the lumen is determined. In response thereto, an image of the second endoluminal device is displayed within the stack, at a location within the stack corresponding to the current location of the second endoluminal device. Other applications are also described.
US-8411932-B2;Example-based two-dimensional to three-dimensional image conversion method, computer readable medium therefor, and system ;2008;An example-based 2D to 3D image conversion method, a computer readable medium therefore, and a system are provided. The embodiments are based on an image database with depth information or with which depth information can be generated. With respect to a 2D image to be converted into 3D content, a matched background image is found from the database. In addition, graph-based segmentation and comparison techniques are employed to detect the foreground of the 2D image so that the relative depth map can be generated from the foreground and background information. Therefore, the 3D content can be provided with the 2D image plus the depth information. Thus, users can rapidly obtain the 3D content from the 2D image automatically and the rendering of the 3D content can be achieved.
US-8780131-B2;Systems and methods for text-based personalization of images ;2008;As set forth herein, a computer-implemented method is employed to place personalized text into an image. A location and region within the image is determined where the text is to be placed. The 3D geometry of the surface is estimated proximate to the location where the text is to be placed. A personalized text string is received. The personalized text string is incorporated into the image to appear as if it is rendered onto the surface or object according to the estimated 3D geometry.
US-7692573-B1;System and method for classification of multiple source sensor measurements, reports, or target tracks and association with uniquely identified candidate targets ;2008;A system and methods enable efficient data association of input sensor data with uniquely identified candidate targets. The methods may use information provided by a target status history database, a target geolocation history database, and a target technical characteristics database, as well as data processing procedures provided by an algorithm rules database. The algorithm rules database provides procedures for generating target classification and identification information for input sensor data, for matching target classification and identification information obtained from input sensor data with information provided by the target technical characteristics database to generate an initial set of consistent, uniquely identified candidate targets, for estimating the minimal required speed of advance for each candidate target, for calculating weights and corresponding data association probabilities for the initial set of candidate targets with the input sensor data, and for selecting a final set of uniquely identified candidate targets with their data association probabilities.
US-8374325-B2;Bilingual communication system ;2008;Embodiments of the present invention include a system, apparatus and method for addressing the need of remotely providing live interpretation to location-specific sites in a timely manner. The system for bilingual communication includes a means to allow a first communicating party and a second communicating party to electronically communicate where the first party and second party communicate in different languages for a group consisting of all spoken languages and sign language. Either or both parties may be more than one person. Communication is made in at least a first location-specific site and is made in a timely manner through a remote third party live interpreter.
US-8225667-B2;Continuous autonomous tester ;2008;A self propelled scanning device is disclosed. The device includes a self propelled chassis that is locomotive across a surface to be scanned, a translator attached to the chassis, and a carriage attached to the translator and adapted to receive a scanner. The translator selectively moves the carriage in at least one dimension across the surface to be scanned.
US-8355711-B2;Collaborative computing for mobile devices ;2008;Embodiments of the present disclosure include systems and methods for collaborative computing for mobile devices. The system includes methods for leveraging a mobile device and computing resources in a peer-to-peer network in a manner that does not require a central controlling entity, nor the transmission and/or downloading of computer-executable code (e.g., program applications) such that mobile device applications can defer the costly execution of said program applications to the collaborative computing resources in a peer-to-peer network where computing resources are cheaper and network bandwidth and connectivity is more reliable and less expensive in comparison to a mobile device.
US-8326872-B2;Database sandbox ;2008;Systems and methods that qualify and/or restrict access of codes associated with a database to objects located outside thereof and in other databases—even though a person executing such code does in fact have permission to interact with the object that the code is attempting to access. A sandbox component can regulate access from one database to another database, by managing authenticator permission and/or trust permission levels. Hence, the set of privileges assigned to security execution context of an executable module (procedure, trigger, computed column) in an un-trusted database is restricted not to exceed a privilege set assigned to database owner.
US-8345960-B2;Method for the three-dimensional synthetic reconstruction of objects exposed to an electromagnetic and/or elastic wave ;2008;"A method for synthetic reconstruction of objects includes: extracting criteria from a knowledge base; extracting, from sensed signals filtered by the criteria, weak signals; extracting, from the weak signals, weak signals of interest; removing noise from and amplifying the weak signals of interest and obtaining useful weak signals; identifying useful direct information, from useful weak signals filtered by the criteria and supplying optimum criteria; reconstructing, using the useful direct information, information of interest; reconstructing, using the information of interest, useful information and supplying optimum criteria; reconstructing, based on the useful information, three-dimensional information, supplying a recognition state file and supplying the optimum criteria; and updating the criteria with the optimum criteria."
US-11036262-B1;Radio frequency power amplifier with adjacent channel leakage correction circuit ;2008;A radio frequency (RF) system is described for use in a wireless communication device. The RF system may contain power amplifiers, additional circuitry and components (e.g., gain controllers, phase shifters), and/or antennas. The RF system is described in a variety of different configurations with its functionality divided up over several single chip circuits. Using the single chip circuits simplifies assembly, reduces size, and allows for high speed RF performance demanded by fixed and mobile wireless standards. The system may use a first amplifier circuit combined with an adjacent channel leakage correction circuit so that the output of the first amplifier has the signal leakage substantially cancelled.
US-8239189-B2;Method and system for estimating a sentiment for an entity ;2008;A method for estimating a sentiment conveyed by the content of information sources towards an entity is presented. The sentiment is obtained with respect to a query context that may be specified, e. g. by specific terms or expressions, like a product or service name. A sentiment dictionary having a plurality of sentiment terms is provided, wherein each sentiment term has assigned a sentiment value, and at least one of said sentiment terms is associated to a group context. Text documents are screened for occurrences of sentiment terms that are associated to a group context corresponding to the query context. Calculating a sentiment score value is performed as a function of the occurrences of sentiment terms having a similar or same group context as the query context. The method may be carried out automatically without manual analysis of the actual semantic content of the text documents under consideration.
US-8778608-B2;CA9 gene single nucleotide polymorphisms predict prognosis and treatment response of metastatic renal cell carcinoma ;2008;Methods and compositions for providing a prognosis or diagnosis for a human patient having renal cell cancer are provided. The method relates to the discovery of SNPs which are associated with a favorable prognosis and response to therapy in RCC.
US-8175995-B2;Quantum and digital processor hybrid systems and methods to solve problems ;2008;Quantum and digital processors are employed together to solve computational problems. The quantum processor may be configured with a problem via a problem Hamiltonian and operated to perform adiabatic quantum computation and/or quantum annealing on the problem Hamiltonian to return a first solution to the problem that is in the neighborhood of the global minimum of the problem Hamiltonian. The digital processor may then be used to refine the first solution to the problem by casting the first solution to the problem as a starting point for a classical optimization algorithm. The classical optimization algorithm may return a second solution to the problem that corresponds to a lower energy state in the neighborhood of the global minimum, such as a ground state of the problem Hamiltonian. The quantum processor may include a superconducting quantum processor implementing superconducting flux qubits.
ES-2391879-T3;Resonance rotor position estimation ;2008;Test system (200) for an outgoing pole machine (230), the test system (200) being adapted to generate a test pulse order to apply a voltage test pulse to machine phase undevane (230) , the test system comprising a measuring circuit (240) adapted to determine a damped resonance response after the end of the voltage test pulse, at which time at least one terminal of a machine phase winding is decoupled, and a processor (250) adapted to derive from it a position of a rotor of the polossalient machine (230) in which the measuring circuit is adapted to determine the influence of the energy exchange between a machine inductance of outgoing poles and a parasitic capacitance ( 312) of the machine of the protruding projectors and the pulse generator components of tension test in the resonated resonance response.
US-8560270-B2;Rational approximation and continued-fraction approximation approaches for computation efficiency of diffraction signals ;2008;Methods and apparatuses for improving computation efficiency for diffraction signals in optical metrology are described. The method includes simulating a set of diffraction orders for a structure. A set of diffraction efficiencies is determined for the set of diffraction orders. A rational approximation or a continued-fraction approximation is applied to the set of diffraction efficiencies to obtain a rationally approximated set of diffraction efficiencies or a continued-fraction approximated set of diffraction efficiencies, respectively. A simulated spectrum is then provided.
US-8355919-B2;Systems and methods for text normalization for text to speech synthesis ;2008;Algorithms for synthesizing speech used to identify media assets are provided. Speech may be selectively synthesized form text strings associated with media assets. A text string may be normalized and its native language determined for obtaining a target phoneme for providing human-sounding speech in a language (e.g., dialect or accent) that is familiar to a user. The algorithms may be implemented on a system including several dedicated render engines. The system may be part of a back end coupled to a front end including storage for media assets and associated synthesized speech, and a request processor for receiving and processing requests that result in providing the synthesized speech. The front end may communicate media assets and associated synthesized speech content over a network to host devices coupled to portable electronic devices on which the media assets and synthesized speech are played back.
US-8060456-B2;Training a search result ranker with automatically-generated samples ;2008;A search result ranker may be trained with automatically-generated samples. In an example embodiment, user interests are inferred from user interactions with search results for a particular query so as to determine respective relevance scores associated with respective query-identifier pairs of the search results. Query-identifier-relevance score triplets are formulated from the respective relevance scores associated with the respective query-identifier pairs. The query-identifier-relevance score triplets are submitted as training samples to a search result ranker. The search result ranker is trained as a learning machine with multiple training samples of the query-identifier-relevance score triplets.
US-8832579-B2;System for creation and management of industrial automation and information solutions and services ;2008;The innovation relates to a system and/or methodology for the creation and management of industrial automation services and design templates. In addition, it allows for users to view processes, applications, protocols, data types, and so forth as semantically intuitive graphical objects that can be dragged, dropped, and tagged to allow for combining functionalities and/or integrating disparate applications or systems through a services model. Additionally, the innovation provides a library for user management of the services and templates.
US-8892435-B2;Text data processing apparatus, text data processing method, and recording medium storing text data processing program ;2008;"Provided is to a text data processing apparatus, method and program to add a symbol at an appropriate position. The apparatus according to this embodiment is a text data processing apparatus that executes edit of a symbol in input text, the apparatus including symbol edit determination means52that determines whether symbol edit is necessary or not based on a frequency of symbol insertion in a block consisting of a plurality of divided text; and symbol edit position calculation means53that calculates likelihood of the symbol edit based on likelihood of symbol insertion for a word and a distance between the symbols and calculates a symbol edit position in the block in accordance with the likelihood of symbol edit or a word in the block when the symbol edit determination means determines that the symbol edit is necessary."
US-8024281-B2;Alpha node hashing in a rule engine ;2008;Some embodiments of alpha node hashing in an exemplary rule engine have been presented. In one embodiment, constraints are added into a constraint set in response to requests from one or more users of a rule engine. The rule engine then determines which constraints within the constraint set are mutually exclusive. Furthermore, the rule engine dynamically enables hashing of facts asserted into a working memory of the rule engine in response to a current number of the mutually exclusive constraints.
US-8264974-B1;Systems and methods for multi-channel network information collection ;2008;A network device may include logic configured to receive a first problem report from a first network device in a first network, receive a second problem report from a second network device in a second network, receive reconfiguration information from a third network device in a third network, store event data included in the first and second problem reports, determine whether the event data included in the first or second problem reports is associated with the reconfiguration information, transmit at least one of the first or second problem reports to the third network device when the reconfiguration information is not associated with the event data included in the first or second problem reports and transmit the reconfiguration information to at least one of the first or second network devices when the reconfiguration information is associated with the event data included in the first or second problem reports.
US-8578283-B2;Suppressing unwanted UI experiences ;2008;Methods to allow, suppress, or reformulate a presentation of a UI element invoked by a computer program are provided. One method includes applying an administrator-configurable heuristic to determine whether to allow a native presentation of the UI element, to suppress the native presentation of the UI element, or to enable a reformulated presentation of the UI element. The method further includes one or more of suppressing and reformulating the UI element in accordance with a determination of the heuristic.
US-10387837-B1;Apparatuses, methods and systems for career path advancement structuring ;2008;"The APPARATUSES, METHODS AND SYSTEMS FOR CAREER PATH ADVANCEMENT STRUCTURING (“CPAS”) provides mechanisms allowing advancement seekers to identify, map out, structure and interact with various advancement paths to the seeker's goals. In one embodiment, the seekers are career advancement seekers, and the CPAS provides mechanisms allowing the seeker to explore various career paths and opportunities. In one embodiment, the CPAS interacts with a statistical engine, which allows seekers to map their experiences to various advancement states in the statistical engines state structure. By so doing, it allows seeker to explore multiple paths based on various criteria, and allows seekers to plan their career goals. In the process, the CPAS allows an advancement seeker to generate, traverse, explore and construct (e.g., career) advancement paths of interconnected states; and perform gap analysis as between any states in the advancement path. In other embodiments, the seekers may be students wishing to advance their academic advancements. In yet other embodiments, the seekers are financial seekers who wish to achieve their financial goals."
DE-102008020865-B4;Vehicle seat with a device for a vehicle seat occupancy recognition ;2008;The invention relates to a vehicle seat with a device for a vehicle seat occupancy detection, wherein between a seat part (3) of the vehicle seat (1) and a vehicle body part (11) a height direction (8) of the vehicle seat (1) adjustable base frame of at least two interconnected scissor arms (6 , 7) is arranged, wherein the base frame by means of at least one gas spring (10) in the height direction is adjustable, wherein the gas spring (10) with a pressure sensor (13) is connected to the at a transition of the vehicle seat (1) of a blank in a state occupied by a minimum mass is detectable due to a pressure change within the gas spring (10) caused by the transition, a exceeding of a predeterminable pressure threshold value (21) being detectable.
US-8061444-B2;Methods and apparatus to form a well ;2008;Methods and apparatus to form a well are disclosed. An example method involves determining a reservoir fluid map associated with at least a portion of a reservoir. The first fluid map has first fluid composition data associated therewith. The example method also involves measuring a formation fluid and determining a second fluid composition data based on the measurement. The second fluid composition data is compared with the first fluid composition data associated with the reservoir fluid map, and a well trajectory is adjusted based on the comparison.
US-8083557-B2;Method and apparatus for powering of amphibious craft ;2008;The methods and apparatuses of the present invention provides for powering and maneuvering (forward, reverse and steering) systems for amphibious vehicle, marine vessel or ground vehicle operation and control. An improved propulsion system may incorporate the use of electric motors combined with impellers which use positive and negative magnetic torque applications and allows for new control strategies when used in water or on the ground. More precise control of the motoring and steering forces is provided which is suitable for use in a variety of amphibious, marine vessels or ground vehicle applications. Various types of electric drive motor/generators may be incorporated for use therein. Intelligent motion control systems may provide for improved vehicle control that can provide motive force and braking force in a precisely controlled manner that significantly improves performance and has faster control dynamics incorporating a fully integrated electrical braking and maneuvering system.
US-8515950-B2;Combining log-based rankers and document-based rankers for searching ;2008;Log-based rankers and document-based rankers may be combined for searching. In an example embodiment, there is a method for combining rankers to perform a search operation. A count of query instances in log data is ascertained based on a query. A search for the query is performed to produce a set of search results. The set of search results is ranked by relevance score with a document-based ranker and a log-based ranker using a weighting factor that is adapted responsive to the count of the query instances in the log data.
US-9841811-B2;Visually directed human-computer interaction for medical applications ;2008;"The present invention relates to a method and apparatus of utilizing an eye detection apparatus in a medical application, which includes calibrating the eye detection apparatus to a user; performing a predetermined set of visual and cognitive steps using the eye detection apparatus; determining a visual profile of a workflow of the user; creating a user-specific database to create an automated visual display protocol of the workflow; storing eye-tracking commands for individual user navigation and computer interactions; storing context-specific medical application eye-tracking commands, in a database; performing the medical application using the eye-tracking commands; and storing eye-tracking data and results of an analysis of data from performance of the medical application, in the database. The method includes performing an analysis of the database for determining best practice guidelines based on clinical outcome measures."
US-7974934-B2;Method for segmenting webpages by parsing webpages into document object modules (DOMs) and creating weighted graphs ;2008;"A method of segmenting a webpage into visually and semantically cohesive pieces uses an optimization problem on a weighted graph, where the weights reflect whether two nodes in the webpage's DOM tree should be placed together or apart in the segmentation; the weights are informed by manually labeled data."
US-9760963-B2;Internet based system and method for wagering on an artist ;2008;"Examples of systems and methods for wagering on an artist are disclosed. In one example according to aspects of the present disclosure, a computer implemented method for wagering on an artist includes: obtaining, by an electronic exchange of a wagering system server, an initial value for a metric related to the artist from a popularity profiling system server; receiving, by the electronic exchange, a transaction request from a client computer, wherein the transaction request relates to a wager on a future value of the metric related to the artist; generating, by the electronic exchange, a wager metric related to the transaction; and predicting, by a prediction engine of a wagering system server, the future value of the metric related to the artist based on the initial value of the metric and the wager metric."
US-9572494-B2;Method and apparatus for multi-spectral imaging and analysis of skin lesions and biological tissues ;2008;A multispectral nevoscope that uses specific wavelengths in the visible and infrared spectrum of electromagnetic radiation to transilluminate a skin-lesion or a biological tissue or specimen for imaging and maps multispectral 2-dimensional images into 3-dimensional virtual space for providing 3-D distributions of pre-defined parameters representing the characteristic properties (such as melanin, hemoglobin and deoxyhemoglobin, etc.) of a skin lesion. Methods are disclosed for analyzing and using the characteristic distributions of specific parameters for detection and management of skin-cancers, or characterization of a biological tissue or specimen.
US-8306932-B2;System and method for adaptive data masking ;2008;A method for adaptive data masking of a database is provided. The method comprises extracting data from a first database and providing one or more predefined rules for masking the extracted data. The method further comprises masking a first portion of extracted data using a trained Artificial Neural Network (ANN), where the ANN is trained for masking at least one database having properties similar to the first database. The masked and unmasked data is aggregated to arrive at an output structurally similar to the extracted data. The method furthermore comprises determining a deviation value between the arrived output and expected output of the extracted data, and adapting the trained ANN automatically according to data masking requirements of the first database, if the deviation value is more than a predefined value.
US-9682241-B2;Intrusion resistant implantable medical device ;2008;A medical apparatus is disclosed, at least a portion of which is configured for implantation in an animal. The medical apparatus includes a communication module configured to receive communications originating external to the animal. The medical apparatus also includes a threat assessment module configured to ascertain a malware threat characteristic of a communication received by the communication module. The medical apparatus further includes a threat mitigation module configured to implement a mitigation measure responsive to the ascertained malware threat characteristic of the received communication.
US-8682668-B2;Language model score look-ahead value imparting device, language model score look-ahead value imparting method, and program storage medium ;2008;A speech recognition apparatus that performs frame synchronous beam search by using a language model score look-ahead value prevents the pruning of a correct answer hypothesis while suppressing an increase in the number of hypotheses. A language model score look-ahead value imparting device108is provided with a word dictionary203that defines a phoneme string of a word, a language model202that imparts a score of appearance easiness of a word, and a smoothing language model score look-ahead value calculation means201. The smoothing language model score look-ahead value calculation means201obtains a language model score look-ahead value at each phoneme in the word from the phoneme string of the word defined by the word dictionary203and the language model score defined by the language model202so that the language model score look-ahead values are prevented from concentrating on the beginning of the word.
DE-102008045861-B4;Airport control apparatus and method for controlling air traffic at an airport ;2008;Airport control device (1) with a central database (2) containing a plurality of relevant control data for the processes associated with the execution of a flight and with a plurality of with the central database (2) associated computer-aided subscriber facilities (TOP), each for planning and Controlling a specialized sub-process of flight handling are set up, and with at least one analysis unit for analyzing the future traffic situation at the airport, taking into account at least one sub-process of flight handling related control parameters that are desired by a user equipment (TOP), and the control data contained in the database in that the subscriber devices (TOP) continue to analyze respectively desired control parameters with the aid of the at least one analysis unit and for the computer-assisted negotiation of the respective desired control parameters are configured such that in an iterative process with the help of the at least one analysis unit analyzable planning proposals for the flight handling of participating subscriber equipment (TOP) by modifying control parameters are modifiable, acceptable or denied.
US-10298763-B2;Techniques for benchmarking pairing strategies in a contact center system ;2008;"Techniques for benchmarking pairing strategies in a contact center system are disclosed. In one particular embodiment, the techniques may be realized as a method for techniques for benchmarking pairing strategies in a contact center system comprising: cycling, by at least one processor, among at least two pairing strategies; and determining, by the at least one processor, a difference in performance between the at least two pairing strategies."
US-8305440-B2;Stationary object detection using multi-mode background modelling ;2008;Disclosed is a method1201of processing a video stream, the method comprising the steps of determining1230a representative age measure from a model for a visual element from the video stream, determining1250a representative activity count measure from the model, establishing a functional relationship between the representative activity count measure and the representative age measure, comparing1240the functional relationship to a threshold value, and determining1260if the visual element is stationary, based on the result of the comparing step.
US-8831401-B2;Management of television recordings ;2008;In a television recording apparatus having a storage unit capable of storing recordings of television signals, during reproduction of a recording, an analysis of the reproduced television signal is performed to detect a credits sequence of a program. Responsive to input of a command to cease reproduction before the end of a recording, in the event that the command is input after the detected credits sequence, then the recording is deleted or there is displayed a graphical interface providing for user input to indicate a desire for deletion of the recording or not.
US-9492886-B2;Method and device for monitoring a laser processing operation to be performed on a workpiece and laser processing head having such a device ;2008;A method for monitoring a laser machining operation to be performed on a workpiece by detecting at least two current measured valued by at least one sensor which monitors the laser machining operation and determining at least two current characteristic values from the at least two current measured value, wherein the at least two current characteristic values jointly represent a current fingerprint in a characteristic value space and providing a predetermined point set in a characteristic value space, and classifying the laser machining operation by\detecting the position of the current fingerprint relative to the predetermined point set in the characteristic value space.
US-10842387-B2;Apparatus for assessing physiological conditions ;2009;Monitoring apparatus and methods are provided for assessing a physiological condition of a subject. At least two types of physiological information are detected from a subject via a portable monitoring device associated with the subject, and an assessment of a physiological condition of the subject is made using the at least two types of physiological information, wherein each type of physiological information is individually insufficient to make the physiological condition assessment. Environmental information from a vicinity of a subject also may be detected, and an assessment of a physiological condition of the subject may be made using the environmental information in combination with the physiological information. Exemplary physiological information may include subject heart rate, subject activity level, subject tympanic membrane temperature, and subject breathing rate. Exemplary environmental information may include humidity level information in the vicinity of the subject. An exemplary physiological condition assessment may be subject hydration level.
US-8929914-B2;Compensation of propagation delays of wireless signals ;2009;Propagation delay offsets of wireless signals are compensated. Compensation is accomplished through determination of an effective wireless signal propagation delay that accounts for signal path delay and propagation delay over the air. Such determination is based at least in part on statistical analysis of accurate location estimates of reference positions throughout a coverage sector or cell, and location estimates of the reference positions generated through time-of-flight (TOF) measurements of wireless signals. Determination of propagation or signal path delay offset also is attained iteratively based at least in part on reference location estimates and TOF location estimates. High-accuracy location estimates such as those obtained through global navigation satellite systems are employed as reference location estimates. Position of probes or wireless beacons, deployed throughout a sector or cell, also are employed as reference locations. Compensation of propagation delay offset improves accuracy of conventional TOF location estimates and radio network performance.
US-10964408-B2;Method, computer-accessible medium and system for base-calling and alignment ;2009;Exemplary methods, procedures, computer-accessible medium, and systems for base-calling, aligning and polymorphism detection and analysis using raw output from a sequencing platform can be provided. A set of raw outputs can be used to detect polymorphisms in an individual by obtaining a plurality of sequence read data from one or more technologies (e.g., using sequencing-by-synthesis, sequencing-by-ligation, sequencing-by-hybridization, Sanger sequencing, etc.). For example, provided herein are exemplary methods, procedures, computer-accessible medium and systems, which can include and/or be configured for obtaining raw output from a sequencing platform configured to be used for reading fragment(s) of genomes, obtaining reference sequences for the genomes obtained independently from the raw output, and generating a base-call interpretation and/or alignment using the raw output and the reference sequences. For example, a score function can be determined based on information associated with the sequencing platform that can be used to analyze polymorphisms based on the base-call interpretation and/or alignment.
US-8151199-B2;Computational delivery system for avatar and background game content ;2009;Data defining an avatar is received over a network. A sprite sheet comprising a plurality of sprites is created, using the data defining the avatar. Each sprite includes a partial rendering of the respective avatar and at least one run-time parameter including a sprite attribute. A plurality of requests are received, over the network, for the avatar from a plurality of user applications. The data defining the avatar and the sprite sheet are transmitted, over the network, to each of the requesting user applications, enabling each respective user application to display the sprites in the sprite sheet and to set the run-time parameter associated with each of the sprites in the sprite sheet such that each respective sprite is thereby customized to the application.
US-8312260-B2;Dynamic analytical differentiator for obfuscated functions in complex models ;2009;Systems and methods are provided for providing secure transmission of software code, which includes a mathematical function, from a first computer to a second computer so that the mathematical function's content cannot be determined at the second computer. A method includes generating a secure container, where the secure container includes an encrypted representation of the mathematical function and metadata identifying the mathematical function encrypted in the secure container. The method further includes providing the secure container from the first computer to the second computer over a communication transmission medium, where the secure container is accessed at the second computer using the metadata to identify the mathematical function, and where the mathematical function contained within the secure container is decrypted and incorporated into program code in a compiled form so that the mathematical function can be used but the mathematical function's content cannot be determined at the second computer.
